1.41057,1.90126
1.4143,2.01157
1.44712,2.09017
1.48881,2.18856
1.49127,2.26533
1.50803,2.30713
1.43804,2.34402
1.44462,2.39241
1.43717,2.42752
1.42991,2.46095
1.41938,2.5142
1.38807,2.54864
1.37964,2.57037
1.39329,2.62705
1.37458,2.6833
1.36257,2.75548
1.59796,2.76844
1.64839,2.83285
1.65092,2.87551
1.59982,2.87143
1.57432,2.9141
1.57659,2.92652
1.55603,2.93702
1.57895,2.94819
1.60779,2.96045
1.61473,2.97299
1.6232,2.99127
1.61411,3.00987
1.60645,3.02951
1.59825,3.05065
1.58872,3.07166
1.58438,3.08658
1.57961,3.10336
1.57635,3.11882
1.5775,3.1309
1.53352,3.13658
1.48225,3.14565
1.55847,3.15731
1.59951,3.19565
1.6144,3.21269
1.61173,3.22663
1.58281,3.23851
1.59856,3.2551
1.59411,3.26944
1.59408,3.28274
1.59192,3.29482
1.59066,3.3102
1.58949,3.32422
1.58918,3.3367
1.58877,3.34233
1.58888,3.34644
1.5868,3.35066
1.58621,3.35358
1.58654,3.35709
1.5874,3.36649
1.58896,3.37261
1.59075,3.37768
1.59261,3.38567
1.59374,3.39504
1.59566,3.40734
1.59683,3.4146
1.59916,3.43023
1.60032,3.44005
1.60105,3.44894
1.60141,3.45436
1.60222,3.46035
1.60555,3.4734
1.60621,3.47705
1.5759,3.47938
1.56186,3.48002
1.55638,3.47928
1.58167,3.47989
1.59881,3.48069
1.60619,3.4811
1.61039,3.48142
1.61396,3.48285
1.61579,3.48436
1.58365,3.50119
1.56362,3.50625
1.555,3.5091
1.54935,3.51211
1.54783,3.51196
1.54523,3.51035
1.54229,3.50861
1.54064,3.50632
1.53966,3.50452
1.53965,3.50388
1.57888,3.50318
1.60113,3.505
1.61117,3.50718
1.57187,3.50802
1.55449,3.51749
1.54214,3.49327
1.54844,3.5191
1.54466,3.50979
1.54238,3.50141
1.54137,3.49467
1.54232,3.49071
1.58198,3.48788
1.60344,3.48545
1.6118,3.4839
1.61677,3.48295
1.57274,3.48245
1.58445,3.48224
1.57056,3.48207
1.56207,3.4818
1.55584,3.48153
1.55217,3.48139
1.54859,3.48135
1.54583,3.48136
1.5445,3.48129
1.57716,3.48126
1.57153,3.48139
1.56491,3.4814
1.5594,3.48154
1.55508,3.4816
1.55284,3.48171
1.55148,3.48176
1.57996,3.48165
1.57066,3.48161
1.56036,3.48154
1.55259,3.48159
1.54788,3.48192
1.54424,3.48171
1.54221,3.48067
1.542,3.48145
1.54269,3.48255
1.54445,3.48547
1.55345,3.50532
1.59549,3.51362
1.61712,3.51687
1.62439,3.51362
1.59789,3.51266
1.58001,3.51845
1.56255,3.48104
1.5547,3.47182
1.54963,3.46562
1.54575,3.46053
1.54175,3.45615
1.53919,3.45271
1.54015,3.4505
1.54161,3.44896
1.54427,3.44768
1.54788,3.44624
1.5516,3.44573
1.55454,3.44454
1.59049,3.44324
1.60701,3.4419
1.61853,3.44547
1.62472,3.44577
1.62829,3.44512
1.6301,3.4465
1.61956,3.41622
1.57707,3.40422
1.54748,3.39405
1.57059,3.38799
1.58145,3.38208
1.58959,3.37479
1.59407,3.36919
1.59702,3.36378
1.59904,3.35912
1.60069,3.3528
1.60201,3.34289
1.60309,3.33543
1.60309,3.32663
1.60366,3.3169
1.60481,3.30823
1.56007,3.29808
1.52459,3.2863
1.5623,3.20597
1.54966,3.20101
1.53198,3.19726
1.52469,3.189
1.51521,3.16205
